rank_by_apps,name,appearances,goals,position,nationality,born,player_id
388,Phil Foden,225,68,Centre Central Midfielder,England,28 May 2000,260162
389,James Maddison,225,56,Left/Centre/Right Attacking Midfielder,England,23 November 1996,340680
390,Kieron Dyer,225,23,Centre/Right Attacking Midfielder,England,29 December 1978,6097
391,Kieran Trippier,225,6,Right Full Back,England,19 September 1990,785458
392,Erik Pieters,225,1,Central Defender,Netherlands,7 August 1988,736600
393,Scot Gemmill,224,8,Midfielder,Scotland,2 January 1971,353070
394,Ayoze Pérez,223,45,Left/Centre/Right Winger,Spain,29 July 1993,362819
395,Ruel Fox,223,36,Forward,Montserrat,14 January 1968,1275
396,Dave Watson,223,6,Defender,England,20 November 1961,167
397,Tim Krul,222,0,Goalkeeper,Netherlands,3 April 1988,354397
398,Ollie Watkins,221,91,Left/Centre/Right Second Striker,England,30 December 1995,226363
399,Ilkay Gündogan,221,45,Midfielder,Germany,24 October 1990,741877
400,Paul Scharner,221,21,Centre Central Defender,Austria,11 March 1980,6553
401,Emmerson Boyce,221,11,Centre Central Defender,Barbados,24 September 1979,18665
402,Shaka Hislop,221,0,Goalkeeper,,22 February 1969,2008
403,Tony Cottee,220,78,Forward,England,11 July 1965,1687
404,Don Hutchison,220,37,Midfielder,Scotland,9 May 1971,1067
405,Jason Roberts,220,36,Centre Striker,Grenada,25 January 1978,6420
406,Samir Nasri,220,36,Left/Centre/Right Attacking Midfielder,France,26 June 1987,144300
407,Victor Moses,220,20,Right Winger,Nigeria,12 December 1990,365284
408,Wilfred Ndidi,220,7,Centre Central Midfielder,Nigeria,16 December 1996,739942
409,Chris Smalling,219,12,Centre Central Defender,England,22 November 1989,259066
410,Andy Hinchcliffe,219,11,Defender,England,5 February 1969,1726
411,Daniel Sturridge,218,76,Centre Striker,England,1 September 1989,163694
412,Clint Dempsey,218,57,Left/Centre/Right Attacking Midfielder,United States,9 March 1983,13682
413,Jacob Murphy,218,22,Left/Right Winger,England,24 February 1995,162005
414,Colin Hendry,218,8,Defender,Scotland,7 December 1965,2604
415,Danny Mills,218,6,Defender,England,18 May 1977,4579
416,Anton Ferdinand,218,4,Centre Central Defender,England,18 February 1985,35191
417,Georginio Wijnaldum,217,27,Centre Attacking Midfielder,Netherlands,11 November 1990,322321
418,Chris Armstrong,216,71,Forward,England,19 June 1971,2864
419,John Moncur,216,10,Midfielder,England,22 September 1966,1065
420,Marcus Bent,215,40,Forward,England,19 May 1978,30144
421,Dan Petrescu,215,23,Defender,Romania,22 December 1967,2491
422,Andy Townsend,215,13,Midfielder,Ireland,23 July 1963,1935
423,Steven Pienaar,214,20,Left/Centre/Right Attacking Midfielder,South Africa,17 March 1982,32100
424,Gary O'Neil,214,16,Central Midfielder,England,18 May 1983,134599
425,Ciaran Clark,214,15,Centre Central Defender,Ireland,26 September 1989,349855
426,Jim Magilton,214,15,Midfielder,Northern Ireland,6 May 1969,2388
427,Will Hughes,214,6,Centre Central Midfielder,England,17 April 1995,288559
428,Maynor Figueroa,214,4,Left Full Back,Honduras,2 May 1983,154572
429,Ian Wright,213,113,Forward,England,3 November 1963,2019
430,Patrick van Aanholt,213,20,Left Full Back,Netherlands,29 August 1990,337920
431,David Luiz,213,14,Defender,Brazil,22 April 1987,740772
432,Danny Simpson,213,0,Defender,England,4 January 1987,355662
433,Fernando Torres,212,85,Centre Striker,Spain,20 March 1984,31365
434,Joelinton,212,24,Left Central Midfielder,Brazil,14 August 1996,160671
435,Alan Stubbs,212,11,Defender,England,6 October 1971,4574
436,Stephen Warnock,212,8,Left Full Back,England,12 December 1981,93980
437,Eidur Gudjohnsen,211,55,Centre Striker,Iceland,15 September 1978,24386
438,Cameron Jerome,211,33,Centre Striker,England,14 August 1986,337371
439,Chris Bart-Williams,211,22,Midfielder,England,16 June 1974,2631
440,Fabian Schär,211,18,Defender,Switzerland,20 December 1991,275377
441,Nemanja Vidic,211,15,Centre Central Defender,Serbia,21 October 1981,17798
442,Fabricio Coloccini,211,4,Centre Central Defender,Argentina,22 January 1982,142621
443,Victor Lindelöf,211,4,Centre Central Defender,Sweden,17 July 1994,741610
444,Paul Jones,211,0,Goalkeeper,Wales,18 April 1967,3432
445,Jack Grealish,210,29,Attacking Midfielder,England,10 September 1995,740200
446,Anthony Martial,209,63,Striker,France,5 December 1995,741086
447,Mateo Kovacic,209,11,Centre Central Midfielder,Croatia,6 May 1994,340665
448,Danny Higginbotham,209,9,Defender,Gibraltar,29 December 1978,13840
449,Ben Thatcher,209,1,Defender,Wales,30 November 1975,96171
450,Dirk Kuijt,208,51,Centre/Right Attacking Midfielder,Netherlands,22 July 1980,34038
451,Neville Southall,208,0,Goalkeeper,Wales,16 September 1958,2065
452,Ashley Barnes,207,42,Striker,England,30 October 1989,729588
453,Charlie Adam,207,33,Centre Central Midfielder,Scotland,10 December 1985,166766
454,Kevin Richardson,207,7,Midfielder,England,4 December 1962,1748
455,Tyrick Mitchell,207,4,Left Full Back,England,1 September 1999,169744
456,Paul Robinson,207,1,Left/Centre Central Defender,England,14 December 1978,9885
457,Kevin Pressman,207,0,Goalkeeper,England,6 November 1967,352889
458,Mark Bosnich,206,0,Goalkeeper,Australia,13 January 1972,2329
459,Matthew Jarvis,205,20,Midfielder,England,22 May 1986,261509
460,Nigel Reo-Coker,205,10,Centre Central Midfielder,England,14 May 1984,125709
461,Joshua King,204,53,Forward,Norway,15 January 1992,386584
462,Marcus Gayle,204,34,Forward,Jamaica,27 September 1970,848
463,Victor Anichebe,204,26,Centre Striker,Nigeria,23 April 1988,38829
464,Jason Puncheon,204,24,Left/Centre/Right Attacking Midfielder,England,18 June 1986,144539
465,Fabian Delph,204,7,Left/Centre Central Midfielder,England,21 November 1989,160457
466,Phil Jones,204,2,Centre Central Defender,England,21 February 1992,6013
467,Mark Crossley,204,0,Goalkeeper,Wales,16 June 1969,26950
468,Steve Potts,204,0,Defender,England,7 May 1967,821
469,Alexis Mac Allister,203,28,Left/Centre/Right Attacking Midfielder,Argentina,24 December 1998,340453
470,Gareth McAuley,203,15,Centre Central Defender,Northern Ireland,5 December 1979,137403
471,Robbie Mustoe,203,10,Midfielder,England,28 August 1968,3119
472,Micah Richards,203,8,Right Full Back,England,24 June 1988,18557
473,Paul Williams,203,5,Defender,England,26 March 1971,353327
474,Stuart Pearce,202,20,Defender,England,24 April 1962,2257
475,Matt Holland,202,17,Centre Central Midfielder,Ireland,11 April 1974,128607
476,Sean Davis,202,10,Midfielder,England,20 September 1979,178211
477,Danny Rose,202,9,Left Full Back,England,2 July 1990,277658
478,Yves Bissouma,202,5,Centre Central Midfielder,Mali,30 August 1996,312817
479,Carlos Tevez,201,84,Centre Striker,Argentina,5 February 1984,121631
480,Darren Huckerby,201,38,Forward,England,23 April 1976,3684
481,John Barnes,201,28,Midfielder,England,7 November 1963,1848
482,Franck Queudrue,201,12,Defender,France,27 August 1978,95416
483,Angelo Ogbonna,201,8,Defender,Italy,23 May 1988,363438
484,Jonas Olsson,201,8,Centre Central Defender,Sweden,10 March 1983,154710
485,Kasey Keller,201,0,Goalkeeper,United States,29 November 1969,110749
486,Steve Sidwell,200,21,Centre Central Midfielder,England,14 December 1982,30580
487,Demarai Gray,200,19,Left/Centre/Right Second Striker,Jamaica,28 June 1996,58729
488,Morgan Schneiderlin,200,13,Centre Defensive Midfielder,France,8 November 1989,258394
489,Toby Alderweireld,200,9,Defender,Belgium,2 March 1989,319009
490,Matt Elliott,199,22,Defender,Scotland,1 November 1968,1403
491,Joe Allen,199,16,Centre Central Midfielder,Wales,14 March 1990,97327
492,Federico Fernández,199,4,Centre Central Defender,Argentina,21 February 1989,325640
493,Robert Pirès,198,62,Midfielder,France,29 October 1973,143177
494,Kevin Gallacher,198,56,Forward,Scotland,23 November 1966,2176
495,Kenneth Monkou,198,10,Defender,Netherlands,29 November 1964,502
496,Conor Coady,198,7,Centre Central Defender,England,25 February 1993,775937
497,Joachim Andersen,198,4,Centre Central Defender,Denmark,31 May 1996,363213
498,Rod Wallace,197,45,Forward,England,2 October 1969,2621
499,Younes Kaboul,197,12,Centre Central Defender,France,4 January 1986,32102
500,Ryan Nelsen,197,9,Centre Central Defender,New Zealand,18 October 1977,6568
501,Ahmed El Mohamady,197,6,Right Full Back,Egypt,9 September 1987,50119
502,Martin Olsson,197,6,Defender,Sweden,17 May 1988,289029
503,Lucas Radebe,197,0,Defender,South Africa,12 April 1969,961
504,Martin Dúbravka,197,0,Goalkeeper,Slovakia,15 January 1989,785402
505,Dean Saunders,196,45,Forward,Wales,21 June 1964,2081
506,Kelechi Iheanacho,196,42,Forward,Nigeria,3 October 1996,741880
507,Rodri,196,23,Centre Central Midfielder,Spain,22 June 1996,160158
508,Douglas Luiz,196,21,Centre Central Midfielder,Brazil,9 May 1998,775916
509,Jorginho,196,21,Centre Central Midfielder,Italy,20 December 1991,337833
510,Michael Hughes,196,15,Midfielder,Northern Ireland,2 August 1971,3552
511,Jake Livermore,196,7,Centre Defensive Midfielder,England,14 November 1989,342631
512,Christian Dailly,196,4,Defender,Scotland,23 October 1973,177713
513,Steve Bould,196,2,Defender,England,16 November 1962,2192
514,Kenwyne Jones,195,40,Centre Striker,Trinidad & Tobago,5 October 1984,141441
515,David Ginola,195,21,Forward,France,25 January 1967,2653
516,Neil Ruddock,195,16,Defender,England,9 May 1968,2011
517,Earl Barrett,195,1,Defender,England,28 April 1967,1725
518,Aaron Ramsdale,195,0,Goalkeeper,England,14 May 1998,792554
519,Dean Kiely,195,0,Goalkeeper,Ireland,10 October 1970,5145
520,Heurelho Gomes,195,0,Goalkeeper,Brazil,15 February 1981,15253
521,Dele Alli,194,51,Centre Attacking Midfielder,England,11 April 1996,739167
522,Tomasz Radzinski,194,35,Forward,Canada,14 December 1973,3590
523,Yossi Benayoun,194,31,Midfielder,Israel,5 May 1980,263226
524,Solly March,194,14,Right Winger,England,20 July 1994,372092
525,Sean Longstaff,194,12,Central Midfielder,England,30 October 1997,738681
526,Steven Taylor,194,12,Centre Central Defender,England,23 January 1986,52017
527,Steven Nzonzi,194,11,Midfielder,France,15 December 1988,739986
528,Michael Brown,194,4,Centre Central Midfielder,England,25 January 1977,15019
529,Philippe Coutinho,193,47,Left/Centre/Right Attacking Midfielder,Brazil,12 June 1992,312585
530,Steve Howey,193,12,Defender,England,26 October 1971,3174
531,George McCartney,193,1,Defender,Northern Ireland,29 April 1981,4415
532,Gabriel Magalhães,192,20,Centre Central Defender,Brazil,19 December 1997,202648
533,Jefferson Lerma,192,9,Centre Central Midfielder,Colombia,25 October 1994,340460
534,Steven Reid,192,8,Right Full Back,Ireland,10 March 1981,13908
535,David Burrows,192,3,Defender,England,25 October 1968,919
536,Gabriel Martinelli,191,41,Left Winger,Brazil,18 June 2001,166789
537,Morgan Gibbs-White,191,33,Centre Central Midfielder,England,27 January 2000,323587
538,Steve Ogrizovic,191,0,Goalkeeper,England,12 September 1957,116
539,Paolo Di Canio,190,66,Forward,Italy,9 July 1968,3190
540,Diogo Jota,190,63,Left/Centre/Right Striker,Portugal,4 December 1996,255674
541,Matt Doherty,190,14,Defender,Ireland,16 January 1992,786078
542,Jack Colback,190,9,Centre Central Midfielder,England,24 October 1989,343406
543,Alexandre Song,190,7,Centre Central Midfielder,Cameroon,9 September 1987,135768
544,Dejan Stefanovic,190,7,Defender,Serbia,28 October 1974,27653
545,Lewis Cook,190,1,Centre Central Midfielder,England,3 February 1997,294324
546,Steven Fletcher,189,53,Forward,Scotland,26 March 1987,348131
547,Clive Wilson,189,9,Defender,England,13 November 1961,1273
548,Jody Craddock,189,9,Centre Central Defender,England,25 July 1975,3389
549,Colin Calderwood,189,6,Defender,Scotland,20 January 1965,1814
550,Tyrone Mings,189,6,Centre Central Defender,England,13 March 1993,372085
551,Chris Kirkland,189,0,Goalkeeper,England,2 May 1981,30706
552,Dan Gosling,188,18,Midfielder,England,1 February 1990,353568
553,Nedum Onuoha,188,4,Centre Central Defender,England,12 November 1986,153670
554,Gustavo Poyet,187,54,Midfielder,Uruguay,15 November 1967,2769
555,Andrew Johnson,187,51,Centre Striker,England,10 February 1981,3566
556,Ki Sung-Yueng,187,15,Centre Defensive Midfielder,South Korea,24 January 1989,737827
557,Nacho Monreal,187,7,Left Full Back,Spain,26 February 1986,163201
558,Wayne Hennessey,187,0,Goalkeeper,Wales,24 January 1987,731491
559,Oyvind Leonhardsen,186,30,Midfielder,Norway,17 August 1970,2810
560,Miguel Almirón,186,23,Left/Centre/Right Second Striker,Paraguay,10 February 1994,154335
561,Ian Nolan,186,4,Defender,Northern Ireland,9 July 1970,2310
562,Maximilian Kilman,186,3,Left/Centre Central Defender,England,23 May 1997,360341
563,Peter Beardsley,185,58,Forward,England,18 January 1961,1600
564,Neil Maddison,185,17,Midfielder,England,2 October 1969,1937
565,Lee Clark,185,13,Midfielder,England,27 October 1972,744
566,Stiliyan Petrov,185,9,Centre Central Midfielder,Bulgaria,5 July 1979,4117
567,Marko Arnautovic,184,43,Centre Striker,Austria,19 April 1989,740844
568,Mesut Özil,184,33,Centre Attacking Midfielder,Germany,15 October 1988,324745
569,David Bentley,184,18,Left/Centre/Right Attacking Midfielder,England,27 August 1984,179093
570,Vinnie Jones,184,13,Midfielder,Wales,5 January 1965,577
571,Matt Ritchie,184,12,Midfielder,Scotland,10 September 1989,740916
572,Gunnar Halle,184,10,Defender,Norway,11 August 1965,2069
573,Jan Bednarek,184,9,Central Defender,Poland,12 April 1996,739353
574,Lauren,184,6,Defender,Cameroon,19 January 1977,4266
575,Mason Mount,183,32,Centre Attacking Midfielder,England,10 January 1999,341034
576,Luka Milivojevic,183,28,Centre Central Midfielder,Serbia,7 April 1991,7748
577,Joe Willock,183,15,Centre Attacking Midfielder,England,20 August 1999,287383
578,Mark Draper,183,13,Midfielder,England,11 November 1970,2493
579,Matty Cash,183,10,Right Full Back,Poland,7 August 1997,211499
580,Héctor Bellerín,183,8,Right Full Back,Spain,19 March 1995,342164
581,Craig Cathcart,183,5,Centre Central Defender,Northern Ireland,6 February 1989,347715
582,Jesse Lingard,182,29,Midfielder,England,15 December 1992,737830
583,Jack Wilshere,182,8,Centre Central Midfielder,England,1 January 1992,267645
584,Jack Harrison,181,25,Left Winger,England,20 November 1996,791880
585,Alf Inge Haaland,181,18,Defender,Norway,23 November 1972,2443
586,Ryan Fraser,181,18,Left/Right Winger,Scotland,24 February 1994,363816
587,Calum Chambers,181,7,Defender,England,20 January 1995,360824
588,Craig Short,181,7,Defender,England,25 June 1968,4325
589,Darryl Powell,181,5,Midfielder,Jamaica,15 January 1971,3113
590,Marc Wilson,181,1,Centre Central Midfielder,Ireland,17 August 1987,133648
591,Alan Kimble,181,0,Defender,England,8 June 1966,846
592,Pedro Neto,180,20,Left/Right Winger,Portugal,9 March 2000,362697
593,Boudewijn Zenden,180,19,Left/Centre Central Midfielder,Netherlands,15 August 1976,5471
594,Steve Cook,180,10,Central Defender,England,19 April 1991,344449
595,Étienne Capoue,180,10,Centre Defensive Midfielder,France,11 July 1988,266708
596,Kieran Gibbs,180,2,Left Full Back,England,26 September 1989,312092
597,Maik Taylor,180,0,Goalkeeper,Northern Ireland,4 September 1971,178482
598,Eberechi Eze,179,41,Centre Attacking Midfielder,England,29 June 1998,740654
599,Manuel Lanzini,179,27,Attacking Midfielder,Argentina,15 February 1993,348087
600,Marcos Alonso,179,26,Left Full Back,Spain,28 December 1990,363456
601,Andy Sinton,179,16,Midfielder,England,19 March 1966,1274
602,Timothy Castagne,179,6,Right Full Back,Belgium,5 December 1995,346392
603,Celestine Babayaro,179,5,Defender,Nigeria,29 August 1978,3643
604,Radostin Kishishev,179,2,Midfielder,Bulgaria,30 July 1974,26684
605,Scott McTominay,178,19,Centre Central Midfielder,Scotland,8 December 1996,738060
606,Mathieu Flamini,178,10,Centre Central Midfielder,France,7 March 1984,133372
607,José Fonte,178,7,Central Defender,Portugal,22 December 1983,342397
608,Damien Johnson,178,4,Midfielder,Northern Ireland,18 November 1978,13789
609,Benito Carbone,177,35,Forward,Italy,14 August 1971,2738
610,Rúben Neves,177,21,Centre Central Midfielder,Portugal,13 March 1997,354649
611,Érik Lamela,177,17,Left/Centre/Right Attacking Midfielder,Argentina,4 March 1992,283441
612,Ben Chilwell,177,13,Left Full Back,England,21 December 1996,741683
613,Jamaal Lascelles,177,10,Central Defender,England,11 November 1993,776434
614,Sebastien Bassong,177,6,Central Defender,Cameroon,9 July 1986,139674
615,Ian Rush,176,48,Forward,Wales,20 October 1961,1723
616,Dominic Solanke,176,41,Striker,England,14 September 1997,362647
617,Martin Ødegaard,176,35,Left/Centre/Right Attacking Midfielder,Norway,17 December 1998,288147
618,Anthony Gordon,176,31,Left/Right Winger,England,24 February 2001,785487
619,Stephen Clemence,176,6,Midfielder,England,31 March 1978,98165
620,Nicky Shorey,176,3,Left Full Back,England,19 February 1981,19026
621,Kyle Naughton,176,1,Right Full Back,England,17 November 1988,41422
622,Juan Pablo Ángel,175,44,Forward,Colombia,24 October 1975,2308
623,Iain Dowie,175,33,Forward,Northern Ireland,9 January 1965,1293
624,Yohan Cabaye,175,26,Centre Central Midfielder,France,14 January 1986,163664
625,Lee Sharpe,175,22,Midfielder,England,27 May 1971,2074
626,Nathan Dyer,175,18,Right Winger,England,29 November 1987,19449
627,Daniel Agger,175,9,Defender,Denmark,12 December 1984,119508
628,João Moutinho,175,5,Midfielder,Portugal,8 September 1986,346451
629,Tony Dorigo,174,3,Defender,England,31 December 1965,1884
630,Steve Chettle,174,2,Defender,England,27 September 1968,382
631,Justin Edinburgh,174,0,Defender,England,18 December 1969,531
632,Issa Diop,173,8,Centre Central Defender,Morocco,9 January 1997,786122
633,Diogo Dalot,173,4,Right Full Back,Portugal,18 March 1999,258769
